代码,11.代码（处理方法）,13.代码（处理的主要污染物）,14.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,16.代码（处理的主要污染物）,17.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,19.代码（处理的主要污染物）,20.处理效率（%）（处理的主要污染物）
520113000000G162243544700,J9,2100,99,J9,,,J9,,
520113000000G170951000800,J2,2099,90,J2,,,J2,,
520113000000G170951000800,J9,2100,90,J9,,,J9,,
520113000000G170967273600,e,2100,99,e,,,e,,
520113000000G173661516300,j3,2006,95.7,j3,2100,98.1,j3,,
520113000000G173661516300,j3,2006,95.5,j3,2100,97.9,j3,,
520113000000G173661516300,j3,2006,96.5,j3,2100,98.6,j3,,
520113000000G173661516300,j3,2006,97.5,j3,2100,98,j3,,
520113000000G173661516300,j3,2006,97.7,j3,2100,96.4,j3,,
520113000000G173661516300,j3,2006,98.1,j3,2100,99.3,j3,,
520113000000G173661516300,j3,2006,,j3,2100,98.3,j3,,
520113000000G173661516300,j3,2006,,j3,2100,99.4,j3,,
520113000000G173661516300,j3,2006,,j3,2100,99.1,j3,,
520113000000G175015469000,J9,2100,85.1,J9,,,J9,,
520113000000G175015469000,J9,2100,87.3,J9,,,J9,,
520113000000G179529930800,J2,2099,90,J2,,,J2,,
520113002004G173661516300,J3,2006,95.7,J3,2100,98.1,J3,,
520113002004G173661516300,J3,2006,95.5,J3,2100,97.9,J3,,
520113002004G173661516300,J3,2006,96.5,J3,2100,98.6,J3,,
520113002004G173661516300,J3,2006,97.5,J3,2100,98,J3,,
520113002004G173661516300,J3,2006,97.7,J3,2100,96.4,J3,,
520113002004G173661516300,J3,2006,99.6,J3,2100,99.5,J3,,
520113002004G173661516300,J3,2006,99.3,J3,2100,99,J3,,
520113002004G173661516300,J3,2006,99,J3,2100,99.4,J3,,
520113002004G173661516300,J3,2006,98.7,J3,2100,99.6,J3,,
520113004000G178016061000,J9,2100,92.95,J9,,,J9,,
520113004001G170967273600,j9,2100,95,j9,,,j9,,
520113100204G170951000800,j2,2099,90,j2,,,j2,,
520113100204G170951000800,j9,2100,90,j9,,,j9,,
520113100206G121449312X00,J9,2100,99,J9,,,J9,,
520113100206G121449312X00,J9,2100,99.9,J9,,,J9,,
520113101001G166696364700,J2,2100,79.7,J2,2006,85,J2,,
520113101205G121462134700,J9,2100,96.2,J9,,,J9,,
520113101205G179529930800,j2,2099,90,j2,,,j2,,
520113102206G166299493X00,J9,2100,99.7,J9,,,J9,,
520113102206G170951086800,J9,2100,98.9,J9,,,J9,,
520113102206G170951086800,J9,2100,98.9,J9,,,J9,,
520113102211G175015469000,j9,2100,85.1,j9,,,j9,,
520113102211G175015469000,J9,2100,87.3,J9,,,J9,,
520113200201G121462113600,E,2100,96.2,E,,,E,,
520113200201G167071255X00,J9,2100,89.7,J9,,,J9,,
520113200201G167071255X00,J9,2100,89.7,J9,,,J9,,
520114000000G121440502x00,f,2099,95,f,,,f,,
520114551008G121440502X00,F,2099,95,F,,,F,,
520121000000G121443020900,C,2001,87.2,C,2002,15,C,,
520121000000G121443020900,C,2001,87.2,C,2002,15,C,,
520121000000G121443020900,C,2001,87.2,C,2002,15,C,,
520121000000G121443020900,C,2001,87.2,C,2002,15,C,,
520121000000G121443020900,C,2001,87.2,C,2002,15,C,,
520121000000G121572006400,J3,2100,98.99,J3,2001,98.99,J3,,
520121000000G121572006400,J3,2100,98.99,J3,,,J3,,
520121000000G168399788100,J2,2001,87.2,J2,2002,15,J2,2003,0
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121000000G174574313200,J3,2100,90,J3,,,J3,,
520121100202G121572006400,j3,2100,,j3,,,j3,,
520121100210G174574313200,J3,2100,95,J3,,,J3,,
520121100210G174574313200,J3,2100,90,J3,,,J3,,
520121100210G174574313200,J3,2100,90,J3,,,J3,,
520121100210G174574313200,J3,2100,95,J3,,,J3,,
520121100210G174574313200,J3,2100,95,J3,,,J3,,
520121100210G174574313200,J3,2100,90,J3,,,J3,,
520121101204G121572037100,j2,2006,96.31,j2,2099,62.92,j2,2099,95.18
520122000000G121574251100,C,2100,90,C,2002,90,C,,
520122000000G121574251100,C,2100,90,C,2002,90,C,,
520122000000G121574251100,C,2100,90,C,2002,90,C,,
520122000000G121574251100,C,2100,90,C,2002,90,C,,
520122000000G121574251100,E,2100,99.99,E,,,E,,
520122000000G121574251100,E,2100,99.3,E,,,E,,
520122000000G121574251100,E,2100,99.75,E,,,E,,
520122000000G121574251100,E,2100,97.01,E,,,E,,
520122000000G121574251100,E,2100,86.98,E,,,E,,
520122000000G167544806500,J3,2100,96.5,J3,2002,91.6,J3,,
520122000000G167544806500,J3,2100,97.4,J3,2002,92.7,J3,,
520122000000G167544806500,J9,2100,48.8,J9,,,J9,,
520122000000G171437603400,J2,2100,63.5,J2,,,J2,,
520122000000G171437603400,J2,2100,63.5,J2,,,J2,,
520122000000G171437603400,J2,2100,63.5,J2,,,J2,,
520122000000G171437603400,J2,2100,63.5,J2,,,J2,,
520122000000G171437603400,J2,2100,63.5,J2,,,J2,,
520122000000G171437603400,J2,2100,,J2,,,J2,,
520122000000G171437603400,J2,2100,,J2,2006,95.1,J2,,
520122000000G171437603400,J2,2100,,J2,,,J2,,
520122000000G171437603400,J2,2002,99.9,J2,,,J2,,
520122000000G171437603400,D,2100,,D,,,D,,
520122000000G171437603400,A,2100,,A,,,A,,
520122000000G171437622900,J3,2006,,J3,2100,,J3,,
520122000000G171437622900,J3,2002,,J3,,,J3,,
520122000000G173098970300,J3,2100,87,J3,2006,10,J3,,
520122000000G173098970300,J3,2100,87,J3,,,J3,,
520122000000G173098970300,J3,2100,87,J3,,,J3,,
520122000000G173098970300,J3,2100,87,J3,,,J3,,
520122000000G173098970300,J3,2100,87,J3,2006,10,J3,,
520122000000G173098970300,J3,2100,87,J3,,,J3,,
520122000000G173098970300,J3,2100,87,J3,2006,10,J3,,
520122000000G175017634700,J3,2100,99,J3,,,J3,,
520122000000G175017634700,J3,2100,99,J3,,,J3,,
520122000000G175019374500,J2,2006,,J2,,,J2,,
520122000000G175019374500,J2,2006,,J2,,,J2,,
520122000000G175019374500,J2,2006,,J2,2100,92,J2,,
520122000000G175019374500,J2,2002,99.9,J2,,,J2,,
520122000000G175019374500,J2,2002,99.9,J2,,,J2,,
520122000000G175019374500,J2,2002,99.9,J2,,,J2,,
520122000000G175019374500,J2,2002,99.9,J2,,,J2,,
520122000000G175019374500,J9,2002,92,J9,,,J9,,
520122000000G175019374500,J9,2002,92,J9,,,J9,,
520122000000G176138885500,J8,2002,,J8,2100,,J8,,
520122000000G176138885500,J8,2002,,J8,2100,,J8,,
520122000000G176138885500,J8,2002,,J8,2100,,J8,,
520122000000G177055793x00,E,2100,99,E,,,E,,
